ImageName,SampleID,LatitudeDD,LongitudeDD,DepthInMeters,ObservationDate,ObservationTime,Locality,ScientificName,Presence,VernacularName
DSC-13134,DSC-13134_1224,26.31950,-84.75590,514,8/15/2017,7:13:40 PM,North Reed Site (deep),Stichopathes sp.,1,Black Coral
DSC-13152,DSC-13152_1265,26.31870,-84.75590,522,8/15/2017,7:20:30 PM,North Reed Site (deep),Stichopathes sp.,1,Black Coral
DSC-16962,DSC-16962_1106,26.78000,-84.87040,573,8/22/2017,4:28:20 PM,North Wall,Stichopathes sp.,1,Black Coral
DSC-16984,DSC-16984_1120,26.78060,-84.87130,583,8/22/2017,4:35:50 PM,North Wall,Stichopathes sp.,1,Black Coral
DSC-16985,DSC-16985_1118,26.78060,-84.87130,583,8/22/2017,4:36:00 PM,North Wall,Stichopathes sp.,1,Black Coral
DSC-16986,DSC-16986_1115,26.78070,-84.87130,583,8/22/2017,4:36:10 PM,North Wall,Stichopathes sp.,1,Black Coral
DSC-16988,DSC-16988_1111,26.78080,-84.87150,587,8/22/2017,4:37:00 PM,North Wall,Stichopathes sp.,1,Black Coral
DSC-16989,DSC-16989_1110,26.78080,-84.87160,591,8/22/2017,4:37:40 PM,North Wall,Stichopathes sp.,1,Black Coral
DSC-16990,DSC-16990_1108,26.78080,-84.87160,591,8/22/2017,4:38:00 PM,North Wall,Stichopathes sp.,1,Black Coral
DSC-16991,DSC-16991_1107,26.78080,-84.87170,591,8/22/2017,4:38:10 PM,North Wall,Stichopathes sp.,1,Black Coral
DSC-16996,DSC-16996_1114,26.78090,-84.87200,601,8/22/2017,4:40:00 PM,North Wall,Stichopathes sp.,1,Black Coral
DSC-17014,DSC-17014_1122,26.78090,-84.87300,618,8/22/2017,4:47:55 PM,North Wall,Stichopathes sp.,1,Black Coral
DSC-17015,DSC-17015_1121,26.78090,-84.87300,618,8/22/2017,4:48:00 PM,North Wall,Stichopathes sp.,1,Black Coral
DSC-17271,DSC-17271_839,26.78640,-84.87900,689,8/22/2017,6:49:35 PM,North Wall,Stichopathes sp.,1,Black Coral
DSC-17275,DSC-17275_835,26.78650,-84.87910,685,8/22/2017,6:51:00 PM,North Wall,Stichopathes sp.,1,Black Coral
DSC-17296,DSC-17296_797,26.78730,-84.87970,688,8/22/2017,7:02:00 PM,North Wall,Stichopathes sp.,1,Black Coral
DSC-17297,DSC-17297_748,26.78730,-84.87970,689,8/22/2017,7:03:00 PM,North Wall,Stichopathes sp.,1,Black Coral
DSC-17318,DSC-17318_740,26.78720,-84.87950,689,8/22/2017,7:20:00 PM,North Wall,Stichopathes sp.,1,Black Coral
DSC-17320,DSC-17320_929,26.78720,-84.87950,695,8/22/2017,7:22:00 PM,North Wall,Stichopathes sp.,1,Black Coral
DSC-17321,DSC-17321_923,26.78720,-84.87950,692,8/22/2017,7:23:00 PM,North Wall,Stichopathes sp.,1,Black Coral
DSC-17323,DSC-17323_921,26.78720,-84.87950,690,8/22/2017,7:25:00 PM,North Wall,Stichopathes sp.,1,Black Coral
DSC-17324,DSC-17324_919,26.78720,-84.87950,0,8/22/2017,7:26:00 PM,North Wall,Stichopathes sp.,1,Black Coral
DSC-17330,DSC-17330_931,26.78720,-84.87950,688,8/22/2017,7:32:00 PM,North Wall,Stichopathes sp.,1,Black Coral
DSC-18235,DSC-18235_720,25.64080,-84.55240,450,8/23/2017,4:06:40 PM,Okeanos Ridge,Stichopathes sp.,1,Black Coral
DSC-18288,DSC-18288_712,25.64080,-84.55240,450,8/23/2017,4:06:40 PM,Okeanos Ridge,Stichopathes sp.,1,Black Coral
DSC-11445,DSC-11445_1026,26.40040,-84.76570,413,8/14/2017,1:43:00 PM,Long Mound South,Leiopathes glaberrima,1,Black Coral
DSC-11450,DSC-11450_1023,26.40040,-84.76580,413,8/14/2017,1:45:00 PM,Long Mound South,Leiopathes glaberrima,1,Black Coral
DSC-11455,DSC-11455_1038,26.40020,-84.76590,413,8/14/2017,1:48:00 PM,Long Mound South,Leiopathes glaberrima,1,Black Coral
DSC-11456,DSC-11456_1040,26.40020,-84.76590,413,8/14/2017,1:48:00 PM,Long Mound South,Leiopathes glaberrima,1,Black Coral
DSC-11462,DSC-11462_1049,26.40000,-84.76620,414,8/14/2017,1:51:00 PM,Long Mound South,Leiopathes glaberrima,1,Black Coral
DSC-11488,DSC-11488_986,26.39950,-84.76680,413,8/14/2017,2:04:00 PM,Long Mound South,Leiopathes glaberrima,1,Black Coral
DSC-11491,DSC-11491_993,26.39940,-84.76690,414,8/14/2017,2:06:00 PM,Long Mound South,Leiopathes glaberrima,1,Black Coral
DSC-11492,DSC-11492_996,26.39940,-84.76690,414,8/14/2017,2:06:00 PM,Long Mound South,Leiopathes glaberrima,1,Black Coral
DSC-11495,DSC-11495_972,26.39930,-84.76700,414,8/14/2017,2:08:00 PM,Long Mound South,Leiopathes glaberrima,1,Black Coral
DSC-11497,DSC-11497_1008,26.39930,-84.76710,414,8/14/2017,2:09:00 PM,Long Mound South,Leiopathes glaberrima,1,Black Coral
DSC-11499,DSC-11499_1009,26.39930,-84.76700,414,8/14/2017,2:10:00 PM,Long Mound South,Leiopathes glaberrima,1,Black Coral
DSC-11502,DSC-11502_1013,26.39940,-84.76700,414,8/14/2017,2:11:00 PM,Long Mound South,Leiopathes glaberrima,1,Black Coral
DSC-11505,DSC-11505_1015,26.39940,-84.76700,413,8/14/2017,2:13:00 PM,Long Mound South,Leiopathes glaberrima,1,Black Coral
DSC-11541,DSC-11541_1098,26.39940,-84.76700,413,8/14/2017,2:31:00 PM,Long Mound South,Leiopathes glaberrima,1,Black Coral
DSC-11549,DSC-11549_1102,26.39940,-84.76700,415,8/14/2017,2:35:00 PM,Long Mound South,Leiopathes glaberrima,1,Black Coral
DSC-11552,DSC-11552_1104,26.39940,-84.76700,415,8/14/2017,2:36:00 PM,Long Mound South,Leiopathes glaberrima,1,Black Coral
DSC-11556,DSC-11556_1067,26.39940,-84.76700,417,8/14/2017,2:38:00 PM,Long Mound South,Leiopathes glaberrima,1,Black Coral
DSC-11560,DSC-11560_1055,26.39930,-84.76700,417,8/14/2017,2:40:00 PM,Long Mound South,Leiopathes glaberrima,1,Black Coral
DSC-11570,DSC-11570_1079,26.39940,-84.76640,417,8/14/2017,2:45:00 PM,Long Mound South,Leiopathes glaberrima,1,Black Coral
DSC-11572,DSC-11572_1051,26.39940,-84.76630,417,8/14/2017,2:46:00 PM,Long Mound South,Leiopathes glaberrima,1,Black Coral
DSC-11573,DSC-11573_1068,26.39930,-84.76620,415,8/14/2017,2:47:00 PM,Long Mound South,Leiopathes glaberrima,1,Black Coral
DSC-11576,DSC-11576_1070,26.39920,-84.76610,415,8/14/2017,2:48:00 PM,Long Mound South,Leiopathes glaberrima,1,Black Coral
DSC-11578,DSC-11578_1073,26.39910,-84.76610,415,8/14/2017,2:49:00 PM,Long Mound South,Leiopathes glaberrima,1,Black Coral
DSC-11582,DSC-11582_1078,26.39880,-84.76570,414,8/14/2017,2:53:00 PM,Long Mound South,Leiopathes glaberrima,1,Black Coral
DSC-12120,DSC-12120_703,26.39090,-84.75890,430,8/14/2017,8:31:00 PM,Long Mound South,Leiopathes glaberrima,1,Black Coral
DSC-12136,DSC-12136_684,26.39050,-84.75890,427,8/14/2017,8:39:00 PM,Long Mound South,Leiopathes glaberrima,1,Black Coral
DSC-12152,DSC-12152_687,26.39020,-84.75900,426,8/14/2017,8:47:00 PM,Long Mound South,Leiopathes glaberrima,1,Black Coral
DSC-12162,DSC-12162_690,26.39000,-84.75890,428,8/14/2017,8:51:00 PM,Long Mound South,Leiopathes glaberrima,1,Black Coral
DSC-12168,DSC-12168_696,26.38990,-84.75880,429,8/14/2017,8:53:00 PM,Long Mound South,Leiopathes glaberrima,1,Black Coral
DSC-12313,DSC-12313_279,26.32130,-84.74110,420,8/15/2017,12:55:05 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12317,DSC-12317_287,26.32120,-84.74090,420,8/15/2017,12:55:35 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12325,DSC-12325_296,26.32120,-84.74100,420,8/15/2017,12:56:15 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12327,DSC-12327_299,26.32120,-84.74090,421,8/15/2017,12:56:25 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12328,DSC-12328_301,26.32120,-84.74100,421,8/15/2017,12:56:35 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12331,DSC-12331_333,26.32120,-84.74100,421,8/15/2017,12:56:45 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12335,DSC-12335_355,26.32110,-84.74100,421,8/15/2017,12:57:15 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12347,DSC-12347_359,26.32130,-84.74110,421,8/15/2017,12:57:55 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12351,DSC-12351_361,26.32130,-84.74120,417,8/15/2017,12:58:15 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12360,DSC-12360_420,26.32140,-84.74130,419,8/15/2017,12:58:50 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12394,DSC-12394_558,26.32030,-84.74150,421,8/15/2017,1:11:05 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12398,DSC-12398_575,26.32030,-84.74150,421,8/15/2017,1:11:15 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12446,DSC-12446_342,26.32050,-84.74190,419,8/15/2017,1:13:45 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12464,DSC-12464_343,26.32050,-84.74190,419,8/15/2017,1:13:55 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12475,DSC-12475_436,26.32030,-84.74180,419,8/15/2017,1:14:55 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12482,DSC-12482_328,26.32040,-84.74190,419,8/15/2017,1:15:15 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12483,DSC-12483_444,26.32040,-84.74190,419,8/15/2017,1:15:25 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12494,DSC-12494_198,26.32030,-84.74190,418,8/15/2017,1:16:35 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12505,DSC-12505_88,26.32020,-84.74180,417,8/15/2017,1:17:15 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12514,DSC-12514_101,26.32020,-84.74190,417,8/15/2017,1:17:45 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12553,DSC-12553_95,26.32010,-84.74200,415,8/15/2017,1:20:45 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12556,DSC-12556_35,26.32010,-84.74200,417,8/15/2017,1:20:55 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12565,DSC-12565_58,26.31990,-84.74210,418,8/15/2017,1:21:45 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12578,DSC-12578_40,26.32000,-84.74240,420,8/15/2017,1:22:25 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12579,DSC-12579_67,26.31990,-84.74240,421,8/15/2017,1:22:35 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12611,DSC-12611_213,26.31960,-84.74250,422,8/15/2017,1:25:15 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12622,DSC-12622_225,26.31950,-84.74220,422,8/15/2017,1:25:55 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12623,DSC-12623_192,26.31940,-84.74210,421,8/15/2017,1:26:05 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12630,DSC-12630_251,26.31950,-84.74240,420,8/15/2017,1:26:35 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12631,DSC-12631_824,26.31940,-84.74230,420,8/15/2017,1:26:45 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12664,DSC-12664_119,26.31930,-84.74240,421,8/15/2017,1:29:25 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12669,DSC-12669_127,26.31920,-84.74250,422,8/15/2017,1:29:55 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12706,DSC-12706_160,26.31940,-84.74240,422,8/15/2017,1:30:55 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12724,DSC-12724_170,26.31910,-84.74260,431,8/15/2017,1:32:05 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12736,DSC-12736_165,26.31910,-84.74260,432,8/15/2017,1:32:25 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12743,DSC-12743_157,26.31900,-84.74240,432,8/15/2017,1:32:45 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12759,DSC-12759_811,26.31890,-84.74260,435,8/15/2017,1:33:35 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12807,DSC-12807_857,26.31880,-84.74250,436,8/15/2017,1:35:05 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12842,DSC-12842_832,26.31890,-84.74240,425,8/15/2017,1:36:55 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12886,DSC-12886_739,26.31860,-84.74230,424,8/15/2017,1:39:15 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12911,DSC-12911_790,26.31870,-84.74240,420,8/15/2017,1:40:15 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12942,DSC-12942_774,26.31860,-84.74200,419,8/15/2017,1:41:45 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12968,DSC-12968_961,26.31850,-84.74200,417,8/15/2017,1:43:05 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-12999,DSC-12999_793,26.31840,-84.74190,414,8/15/2017,1:44:25 PM,North Reed Site,Leiopathes glaberrima,1,Black Coral
DSC-15759,DSC-15759_1137,26.21100,-84.71340,446,8/19/2017,6:55:55 PM,Many Mounds,Leiopathes glaberrima,1,Black Coral
DSC-16128,DSC-16128_1186,26.20680,-84.71080,433,8/19/2017,8:37:00 PM,Many Mounds,Leiopathes glaberrima,1,Black Coral
DSC-16129,DSC-16129_1184,26.20680,-84.71080,433,8/19/2017,8:37:00 PM,Many Mounds,Leiopathes glaberrima,1,Black Coral
DSC-17617,DSC-17617_876,25.65350,-84.55990,450,8/23/2017,11:31:00 AM,Okeanos Ridge,Leiopathes glaberrima,1,Black Coral
DSC-17618,DSC-17618_764,25.65350,-84.55980,450,8/23/2017,11:31:15 AM,Okeanos Ridge,Leiopathes glaberrima,1,Black Coral
DSC-17651,DSC-17651_907,25.65300,-84.55850,450,8/23/2017,11:47:00 AM,Okeanos Ridge,Leiopathes glaberrima,1,Black Coral
DSC-17653,DSC-17653_898,25.65300,-84.55840,450,8/23/2017,11:48:00 AM,Okeanos Ridge,Leiopathes glaberrima,1,Black Coral
DSC-17661,DSC-17661_890,25.65310,-84.55810,450,8/23/2017,11:52:00 AM,Okeanos Ridge,Leiopathes glaberrima,1,Black Coral
DSC-17662,DSC-17662_888,25.65310,-84.55820,450,8/23/2017,11:52:25 AM,Okeanos Ridge,Leiopathes glaberrima,1,Black Coral
DSC-17741,DSC-17741_584,25.65230,-84.55640,450,8/23/2017,12:33:10 PM,Okeanos Ridge,Leiopathes glaberrima,1,Black Coral
DSC-17744,DSC-17744_605,25.65230,-84.55640,450,8/23/2017,12:36:00 PM,Okeanos Ridge,Leiopathes glaberrima,1,Black Coral
DSC-17746,DSC-17746_639,25.65230,-84.55640,450,8/23/2017,12:38:00 PM,Okeanos Ridge,Leiopathes glaberrima,1,Black Coral
DSC-17819,DSC-17819_550,25.65180,-84.55620,450,8/23/2017,1:17:10 PM,Okeanos Ridge,Leiopathes glaberrima,1,Black Coral
DSC-17922,DSC-17922_664,25.64910,-84.55470,450,8/23/2017,2:11:05 PM,Okeanos Ridge,Leiopathes glaberrima,1,Black Coral
DSC-17940,DSC-17940_497,25.64840,-84.55450,450,8/23/2017,2:17:00 PM,Okeanos Ridge,Leiopathes glaberrima,1,Black Coral
DSC-17942,DSC-17942_496,25.64830,-84.55450,450,8/23/2017,2:18:00 PM,Okeanos Ridge,Leiopathes glaberrima,1,Black Coral
DSC-17961,DSC-17961_495,25.64780,-84.55450,450,8/23/2017,2:27:35 PM,Okeanos Ridge,Leiopathes glaberrima,1,Black Coral
DSC-17983,DSC-17983_511,25.64690,-84.55430,450,8/23/2017,2:37:25 PM,Okeanos Ridge,Leiopathes glaberrima,1,Black Coral
DSC-18005,DSC-18005_535,25.64600,-84.55430,450,8/23/2017,2:47:15 PM,Okeanos Ridge,Leiopathes glaberrima,1,Black Coral
DSC-18031,DSC-18031_459,25.64520,-84.55400,450,8/23/2017,2:58:00 PM,Okeanos Ridge,Leiopathes glaberrima,1,Black Coral
DSC-18035,DSC-18035_462,25.64500,-84.55390,450,8/23/2017,2:59:15 PM,Okeanos Ridge,Leiopathes glaberrima,1,Black Coral
DSC-18041,DSC-18041_473,25.64470,-84.55390,450,8/23/2017,3:02:40 PM,Okeanos Ridge,Leiopathes glaberrima,1,Black Coral
DSC-18054,DSC-18054_485,25.64420,-84.55360,450,8/23/2017,3:09:25 PM,Okeanos Ridge,Leiopathes glaberrima,1,Black Coral
DSC-18072,DSC-18072_486,25.64350,-84.55330,450,8/23/2017,3:18:00 PM,Okeanos Ridge,Leiopathes glaberrima,1,Black Coral
DSC-18077,DSC-18077_478,25.64330,-84.55320,450,8/23/2017,3:21:00 PM,Okeanos Ridge,Leiopathes glaberrima,1,Black Coral
DSC-18079,DSC-18079_469,25.64320,-84.55310,450,8/23/2017,3:21:55 PM,Okeanos Ridge,Leiopathes glaberrima,1,Black Coral
DSC-18116,DSC-18116_520,25.64190,-84.55280,450,8/23/2017,3:37:25 PM,Okeanos Ridge,Leiopathes glaberrima,1,Black Coral
DSC-18119,DSC-18119_539,25.64180,-84.55270,450,8/23/2017,3:38:40 PM,Okeanos Ridge,Leiopathes glaberrima,1,Black Coral
DSC-18163,DSC-18163_660,25.64080,-84.55230,450,8/23/2017,4:00:00 PM,Okeanos Ridge,Leiopathes glaberrima,1,Black Coral
DSC-18182,DSC-18182_654,25.64080,-84.55240,450,8/23/2017,4:06:40 PM,Okeanos Ridge,Leiopathes glaberrima,1,Black Coral
DSC-18223,DSC-18223_726,25.64080,-84.55240,450,8/23/2017,4:06:40 PM,Okeanos Ridge,Leiopathes glaberrima,1,Black Coral
DSC-12585,DSC-12585_196,26.31980,-84.74240,422,8/15/2017,1:23:35 PM,North Reed Site,Bathypathes sp.,1,Black Coral
DSC-13974,DSC-13974_427,26.18330,-84.70360,435,8/16/2017,8:22:00 PM,Many Mounds (deep),Bathypathes sp.,1,Black Coral
DSC-13975,DSC-13975_307,26.18330,-84.70370,435,8/16/2017,8:22:10 PM,Many Mounds (deep),Bathypathes sp.,1,Black Coral
DSC-16985,DSC-16985_1119,26.78060,-84.87130,583,8/22/2017,4:36:00 PM,North Wall,Bathypathes sp.,1,Black Coral
DSC-16988,DSC-16988_1112,26.78080,-84.87150,587,8/22/2017,4:37:00 PM,North Wall,Bathypathes sp.,1,Black Coral
DSC-16990,DSC-16990_1109,26.78080,-84.87160,591,8/22/2017,4:38:00 PM,North Wall,Bathypathes sp.,1,Black Coral
DSC-16996,DSC-16996_1113,26.78090,-84.87200,601,8/22/2017,4:40:00 PM,North Wall,Bathypathes sp.,1,Black Coral
DSC-17320,DSC-17320_930,26.78720,-84.87950,695,8/22/2017,7:22:00 PM,North Wall,Bathypathes sp.,1,Black Coral
DSC-17323,DSC-17323_922,26.78720,-84.87950,690,8/22/2017,7:25:00 PM,North Wall,Bathypathes sp.,1,Black Coral
DSC-18081,DSC-18081_504,25.64310,-84.55310,450,8/23/2017,3:22:50 PM,Okeanos Ridge,Bathypathes sp.,1,Black Coral
DSC-18115,DSC-18115_541,25.64190,-84.55290,450,8/23/2017,3:37:00 PM,Okeanos Ridge,Bathypathes sp.,1,Black Coral
DSC-11093,,26.48520,-84.78470,455,8/13/2017,5:02:00 PM,Long Mound North,,0,
DSC-11096,,26.48520,-84.78470,455,8/13/2017,5:02:00 PM,Long Mound North,,0,
DSC-11097,,26.48520,-84.78470,455,8/13/2017,5:02:00 PM,Long Mound North,,0,
DSC-11101,,26.48510,-84.78470,453,8/13/2017,5:03:00 PM,Long Mound North,,0,
DSC-11102,,26.48510,-84.78470,451,8/13/2017,5:04:00 PM,Long Mound North,,0,
DSC-11103,,26.48510,-84.78470,451,8/13/2017,5:04:00 PM,Long Mound North,,0,
DSC-11104,,26.48510,-84.78470,451,8/13/2017,5:04:00 PM,Long Mound North,,0,
DSC-11105,,26.48510,-84.78480,450,8/13/2017,5:05:00 PM,Long Mound North,,0,
DSC-11106,,26.48510,-84.78480,450,8/13/2017,5:05:00 PM,Long Mound North,,0,
DSC-11109,,26.48500,-84.78480,449,8/13/2017,5:06:00 PM,Long Mound North,,0,
DSC-11110,,26.48500,-84.78480,449,8/13/2017,5:06:00 PM,Long Mound North,,0,
DSC-11112,,26.48490,-84.78480,448,8/13/2017,5:07:00 PM,Long Mound North,,0,
DSC-11114,,26.48480,-84.78480,454,8/13/2017,5:08:00 PM,Long Mound North,,0,
DSC-11115,,26.48480,-84.78480,454,8/13/2017,5:08:00 PM,Long Mound North,,0,
DSC-11116,,26.48480,-84.78480,454,8/13/2017,5:08:00 PM,Long Mound North,,0,
DSC-11117,,26.48480,-84.78480,453,8/13/2017,5:09:00 PM,Long Mound North,,0,
DSC-11118,,26.48480,-84.78480,453,8/13/2017,5:09:00 PM,Long Mound North,,0,
DSC-11119,,26.48480,-84.78480,453,8/13/2017,5:09:00 PM,Long Mound North,,0,
DSC-11120,,26.48470,-84.78480,452,8/13/2017,5:10:00 PM,Long Mound North,,0,
DSC-11121,,26.48470,-84.78480,452,8/13/2017,5:10:00 PM,Long Mound North,,0,
DSC-11122,,26.48470,-84.78480,452,8/13/2017,5:10:00 PM,Long Mound North,,0,
DSC-11123,,26.48460,-84.78480,449,8/13/2017,5:11:00 PM,Long Mound North,,0,
DSC-11124,,26.48460,-84.78480,449,8/13/2017,5:11:00 PM,Long Mound North,,0,
DSC-11125,,26.48460,-84.78480,449,8/13/2017,5:11:00 PM,Long Mound North,,0,
DSC-11126,,26.48450,-84.78480,447,8/13/2017,5:12:00 PM,Long Mound North,,0,
DSC-11127,,26.48450,-84.78480,447,8/13/2017,5:12:00 PM,Long Mound North,,0,
DSC-11128,,26.48450,-84.78480,447,8/13/2017,5:12:00 PM,Long Mound North,,0,
DSC-11129,,26.48450,-84.78480,447,8/13/2017,5:13:00 PM,Long Mound North,,0,
DSC-11130,,26.48450,-84.78480,447,8/13/2017,5:13:00 PM,Long Mound North,,0,
DSC-11131,,26.48450,-84.78480,447,8/13/2017,5:13:00 PM,Long Mound North,,0,
DSC-11132,,26.48450,-84.78480,466,8/13/2017,5:14:00 PM,Long Mound North,,0,
DSC-11133,,26.48450,-84.78480,466,8/13/2017,5:14:00 PM,Long Mound North,,0,
DSC-11138,,26.48430,-84.78480,462,8/13/2017,5:16:00 PM,Long Mound North,,0,
DSC-11139,,26.48430,-84.78480,462,8/13/2017,5:16:00 PM,Long Mound North,,0,
DSC-11143,,26.48430,-84.78470,461,8/13/2017,5:17:00 PM,Long Mound North,,0,
DSC-11150,,26.48410,-84.78480,464,8/13/2017,5:20:00 PM,Long Mound North,,0,
DSC-11151,,26.48410,-84.78480,464,8/13/2017,5:20:00 PM,Long Mound North,,0,
DSC-11152,,26.48410,-84.78480,464,8/13/2017,5:20:00 PM,Long Mound North,,0,
DSC-11153,,26.48420,-84.78470,465,8/13/2017,5:21:00 PM,Long Mound North,,0,
DSC-11155,,26.48420,-84.78470,465,8/13/2017,5:21:00 PM,Long Mound North,,0,
DSC-11156,,26.48410,-84.78470,465,8/13/2017,5:22:00 PM,Long Mound North,,0,
DSC-11157,,26.48410,-84.78470,465,8/13/2017,5:22:00 PM,Long Mound North,,0,
DSC-11158,,26.48410,-84.78470,465,8/13/2017,5:22:00 PM,Long Mound North,,0,
DSC-11159,,26.48410,-84.78470,463,8/13/2017,5:23:00 PM,Long Mound North,,0,
DSC-11160,,26.48410,-84.78470,463,8/13/2017,5:23:00 PM,Long Mound North,,0,
DSC-11161,,26.48410,-84.78470,463,8/13/2017,5:23:00 PM,Long Mound North,,0,
DSC-11162,,26.48400,-84.78470,461,8/13/2017,5:24:00 PM,Long Mound North,,0,
DSC-11163,,26.48400,-84.78470,461,8/13/2017,5:24:00 PM,Long Mound North,,0,
DSC-11164,,26.48400,-84.78470,461,8/13/2017,5:24:00 PM,Long Mound North,,0,
DSC-11165,,26.48400,-84.78470,461,8/13/2017,5:25:00 PM,Long Mound North,,0,
DSC-11166,,26.48400,-84.78470,461,8/13/2017,5:25:00 PM,Long Mound North,,0,
DSC-11167,,26.48400,-84.78470,461,8/13/2017,5:25:00 PM,Long Mound North,,0,
DSC-11168,,26.48390,-84.78470,463,8/13/2017,5:26:00 PM,Long Mound North,,0,
